d5e8416,,26,0,2
b73bcd0,,23,0,2
e46c216,,23,0,2
03b2ae3,,22,0,2
fd307b6,,770,0,7
3fd1952,,40,3,1
cebb466,,7,2,1
4ac93bc,,29146,0,167
0ba732e,,1,1,2
b2ebe67,,1,0,1
7b826d2,,729,0,29
7cd7eea,,1,0,1
0d64c92,,0,0,28
58a6192,,0,1,1
ba2f6d7,,0,0,1
30a4a8b,,1,0,1
ee3c21e,,3,1,1
3901801,,0,0,1
9da5e98,,1,1,1
1908bb7,,1,1,1
6de0c04,,657,0,58
ade1c61,,0,2,30
0eba46f,,5,0,1
9c1d713,,0,0,1
f580d07,,0,0,52
fd2c19e,,0,0,1
0e0d636,,0,0,3
b042721,,0,0,10
2d862d8,,0,0,1
c92ce87,,3,0,1
0016ced,,2,0,1
e69b63d,,1,1,1
7b04a58,,4,0,1
f58cdc6,,0,0,9
315a6a4,,56,98,1
21696ff,,3,0,1
ed1e548,,25,0,1
47bb9cd,,0,0,5
e5c4655,,0,0,3
b1c0d7d,,5,5,1
ba24300,,10,5,1
b8c479c,,3,3,1
ee7abbc,,0,0,1
c5efa2b,,1,1,1
cc77d31,,0,0,1
07c39ed,,6,5,1
bad69f6,,1,1,1
b08f622,,5,5,1
3b802e2,,467,195,5
6e68041,,116,95,1
a934e4b,,137,46,176
54c5f58,,3,0,1
7368756,,0,251,1
2ba0c03,,521,79,6
648d56c,,0,307,1
7a410bb,,307,0,1
00757a3,,36,25,2
0551d2c,,0,0,11
4f6a142,,4,0,1
cadc567,,15,1,1
00d0f3c,,14,8,1
6722664,,0,0,1
64ebf2a,,5,0,1
1cced85,,0,0,2
2b38d6e,,6,3,1
da3d9a0,,21,0,1
ebff13e,,0,0,8
3333c3d,,13,1,1
fcdb589,,6,4,1
360aa60,,5,1,1
a854bb9,,15212,56,72
b80af56,,43,27,1
4158a99,,2,0,1
c537a64,,39,0,1
8dc774a,,13,5,1
1673423,,9,25,1
14171d7,,1,1,1
f7af0cc,,1,1,1
ef33646,,1,1,1
e7bb6c0,,4,0,1
5076350,,7,0,1
33d8f87,,3,1,1
f98a183,,1,1,1
a269d69,,4,0,1
d56b8fc,,0,0,2
5231e08,,2,1,1
2926c0a,,1,1,1
987e7e7,,1,1,1
b502d9c,,1,1,1
