c5efa2bd5226f737c96ced403a822b71ed2ef024,ee7abbc,93329527,16053476,16053476,2016-02-28,Update partlist.md
cc77d314f80f24c1f724d5f16f7e0ccf2c2e72fc,c5efa2b,93329527,52500587,52500587,2016-02-28,move partlist document
07c39eddedc916321fc4c1a7cff1f54eac4db6e5,cc77d31,93329527,16053476,16053476,2016-02-28,Update README.md
bad69f6136b16d50c96ef13b5bf4a1334c1d6f77,07c39ed,93329527,16053476,16053476,2016-02-28,Update README.md
b08f622dd8bafc0181bc28ca75fc6e4d5c080c16,bad69f6,93329527,16053476,16053476,2016-02-28,updated to shorter links
3b802e2e03801764630e558279c29c4e4bbaccc6,b08f622,93329527,52500587,52500587,2016-02-28,major update of sketch plus embedding webpage into arduino code
6e6804117f71450443ff34e27a744d53a33037c8,3b802e2,93329527,52500587,52500587,2016-02-29,enabling firmware update from UI via file upload
a934e4bcad1d29c928be2905f4c6154cb9faf9b0,6e68041,93329527,52500587,52500587,2016-02-29,change firmware to consist of index.html ufo.ino.bin and font files
54c5f58f4f797e76d3107d40fa3a6b539e19f279,a934e4b,93329527,16053476,16053476,2016-02-29,Create readme.md
7368756f6b7f61287c3f1ae607bc7ca82bab0a2d,54c5f58,93329527,52500587,52500587,2016-02-29,removed index.html from ino source
2ba0c03eacb8d7ff4afcf794377e4b6fb73de462,7368756,93329527,52500587,52500587,2016-02-29,finalized firmware and index.html upload capability
648d56c206d1d9a6c4e661d3668514c08a1bec37,2ba0c03,93329527,52500587,52500587,2016-02-29,decomposed index.html again
7a410bb949c6a6f8a32269802d36cb7139fe87dc,648d56c,93329527,52500587,52500587,2016-03-01,"Revert ""decomposed index.html again""

This reverts commit 648d56c206d1d9a6c4e661d3668514c08a1bec37."
00757a3d25e25cdc7c6e49581793256b4c51be7e,7a410bb,93329527,52500587,52500587,2016-03-01,redirect after upload + put in AP mode only after factory-reset
0551d2cb834eed66eaa18b8a074f2a488605f54d,00757a3,93329527,52500587,52500587,2016-03-02,adding howto images
4f6a1421df5bf326e3d4a5df3b289098f5ee2be1,0551d2c,93329527,16053476,16053476,2016-03-02,Create README.md
cadc567d3d1b87603602669b67032d988570ec87,4f6a142,93329527,16053476,16053476,2016-03-02,Update README.md
00d0f3c11e1a8ff7e9b274fc558dc5ff61821ead,cadc567,93329527,16053476,16053476,2016-03-02,Update README.md
672266430ac710e4ef36a278afc5cbd352c861e8,00d0f3c,93329527,52500587,52500587,2016-03-02,adding annotated image
64ebf2aa265925ea0bbf2527822c0b29116df41d,6722664,93329527,16053476,16053476,2016-03-02,Update README.md
1cced85c7f655d8e163835208a25e1e36c63cbdc,64ebf2a,93329527,52500587,52500587,2016-03-02,enhanced images
2b38d6e94b61a4cc3de2086041a761683d215c44,1cced85,93329527,16053476,16053476,2016-03-02,Update README.md
da3d9a08742c1e2a774a6f95402b21d144272956,2b38d6e,93329527,16053476,16053476,2016-03-02,Update README.md
ebff13e4101a1161028214facf41501b49723c3c,da3d9a0,93329527,52500587,52500587,2016-03-02,updates images
3333c3dcb644f4948c840ed793aa1963d933dcac,ebff13e,93329527,16053476,16053476,2016-03-02,firmware instructions
fcdb5899100c3b1c0212647493c7bd322b5fa0ba,3333c3d,93329527,16053476,16053476,2016-03-02,Update README.md
360aa608f93c15cd8431152f968cf6a47eca7f94,fcdb589,93329527,16053476,16053476,2016-03-02,Update README.md
a854bb91fc1bd3dfc70a957d982f646c9ce0740b,360aa60,93329527,52500587,52500587,2016-03-02,split web content apart in pieces to further reduce total size
