master,389936514,83d7bb5,5
master,389641013,d740b45,4
main,388088909,5a15d3a,4
main,331661154,05f747b,2
master,363432269,e0d9553,2
master,242157240,63c7e35,3
master,287708715,0dec2cf,2
master,242354710,7736822,4
main,364448696,e0705e3,6
master,188964972,3a626a8,174
dependabot/npm_and_yarn/EnvSet/jest/tmpl-1.0.5,188964972,5a29d2f,175
dependabot/npm_and_yarn/EnvSet/jest/path-parse-1.0.7,188964972,00371e1,175
master,278769240,31be260,39
master,248558400,8b75b22,9
feature/random,248558400,e621f18,4
main,331333796,ac4fc49,4
main,403668402,71bb9ce,1
master,247765621,75e8f34,2
gh-pages,247765621,51cd4b0,66
master,403926555,2a3130a,9
main,335328540,6b964d0,67
main,403667560,f1eb279,1
master,248795539,cfb0a7c,4
dependabot/npm_and_yarn/glob-parent-5.1.2,248795539,e6f68d1,5
master,256931161,4e84687,42
master,319935188,4d5fb08,1
master,348711800,d579b9a,3
master,185406010,9172d37,31
master,231047755,c13c502,5
master,231038227,22cefd0,3
master,179625172,f33a437,1
master,192146409,81008b3,2
main,376029092,36e8649,2
master,192162750,4916f5a,31
master,220120268,f4eef9e,119
master,200978821,09442cd,92
dependabot/maven/Array/junit-junit-4.13.1,200978821,243822d,93
dependabot/maven/junit-junit-4.13.1,200978821,baba565,93
dependabot/maven/Stack/junit-junit-4.13.1,200978821,caa3f1d,93
dependabot/maven/Queue/junit-junit-4.13.1,200978821,b419fd8,93
dependabot/maven/LinkedList/junit-junit-4.13.1,200978821,00870dc,93
main,359394970,04e6b44,49
main,360167885,09b5f3a,22
master,227728904,df8021c,26
master,161329997,df2f3fb,14
master,219304432,873ea9c,48
master,252977804,1a3ada9,31
master,219695229,4675356,31
master,214549390,9096b63,83
dependabot/maven/dormitory_managment/mysql-mysql-connector-java-8.0.16,214549390,6c0423a,84
dependabot/maven/dormitory_managment/junit-junit-4.13.1,214549390,abeab64,84
dependabot/maven/dormitory_managment/org.mybatis-mybatis-3.5.6,214549390,d9d8f22,84
