1182395,Frederick-S,44,168,45,148,0
16127381,rakzhodekams,281,5k,513,5,0
51766272,shivangraikar,397,14k,13,29,0
6508763,dalinhuang99,6.4k,160k,121,26,0
29655587,cafeUncle,1,3,34,43,0
75291883,heru616,14,150,832,5,0
10111,mattn,7.8k,1.7k,1.9k,1.7k,0
7037133,jinnjuice,47,246,73,86,0
14808551,Lisprez,956,66k,6.1k,381,0
1222872,ZECTBynmo,135,506,3.7k,210,0
11992909,just-a-bot,254,13.5k,1,0,0
10085632,newbokee,40,376,7.6k,6,0
5877145,angusshire,12k,229k,208k,18,0
14251570,mstraughan86,5.7k,60k,658,25,0
15976103,yihong0618,755,578,1.5k,91,0
15523495,harrisonwhiskey,3,17,14,6,0
