master,master,160038588,f353cd2,32,https://github.com/Frederick-S/frederick-s.github.io/archive/refs/heads/master.zip
blog,master,160038588,c4696ee,151,https://github.com/Frederick-S/frederick-s.github.io/archive/refs/heads/blog.zip
dependabot/npm_and_yarn/blog/hexo-5.4.0,master,160038588,e744b2c,124,https://github.com/Frederick-S/frederick-s.github.io/archive/refs/heads/dependabot/npm_and_yarn/blog/hexo-5.4.0.zip
dependabot/add-v2-config-file,master,160038588,5e9b06e,22,https://github.com/Frederick-S/frederick-s.github.io/archive/refs/heads/dependabot/add-v2-config-file.zip
main,main,339349282,74e014d,11,https://github.com/Frederick-S/html2pdf-web/archive/refs/heads/main.zip
master,master,141825063,0c1fa36,118,https://github.com/Frederick-S/Yosoro/archive/refs/heads/master.zip
dependabot/npm_and_yarn/path-parse-1.0.7,master,141825063,ed3513b,119,https://github.com/Frederick-S/Yosoro/archive/refs/heads/dependabot/npm_and_yarn/path-parse-1.0.7.zip
dependabot/npm_and_yarn/tar-2.2.2,master,141825063,07816b9,119,https://github.com/Frederick-S/Yosoro/archive/refs/heads/dependabot/npm_and_yarn/tar-2.2.2.zip
dependabot/npm_and_yarn/dns-packet-1.3.4,master,141825063,cc92fb2,119,https://github.com/Frederick-S/Yosoro/archive/refs/heads/dependabot/npm_and_yarn/dns-packet-1.3.4.zip
releases/v1.0.0,master,141825063,57b75b4,9,https://github.com/Frederick-S/Yosoro/archive/refs/heads/releases/v1.0.0.zip
releases/v1.0.1,master,141825063,ce58e00,17,https://github.com/Frederick-S/Yosoro/archive/refs/heads/releases/v1.0.1.zip
releases/v1.0.2,master,141825063,4d1ee48,23,https://github.com/Frederick-S/Yosoro/archive/refs/heads/releases/v1.0.2.zip
releases/v1.0.3,master,141825063,af5be10,40,https://github.com/Frederick-S/Yosoro/archive/refs/heads/releases/v1.0.3.zip
releases/v1.0.4,master,141825063,a4730d7,59,https://github.com/Frederick-S/Yosoro/archive/refs/heads/releases/v1.0.4.zip
master,master,169346696,569659e,"1,307",https://github.com/Frederick-S/RSSHub/archive/refs/heads/master.zip
dependabot/npm_and_yarn/path-parse-1.0.7,master,169346696,95ac5a4,"1,308",https://github.com/Frederick-S/RSSHub/archive/refs/heads/dependabot/npm_and_yarn/path-parse-1.0.7.zip
dependabot/npm_and_yarn/tar-4.4.15,master,169346696,1a2331c,"1,308",https://github.com/Frederick-S/RSSHub/archive/refs/heads/dependabot/npm_and_yarn/tar-4.4.15.zip
dependabot/npm_and_yarn/urijs-1.19.7,master,169346696,d7a2295,"1,308",https://github.com/Frederick-S/RSSHub/archive/refs/heads/dependabot/npm_and_yarn/urijs-1.19.7.zip
dependabot/npm_and_yarn/prismjs-1.24.0,master,169346696,e186487,"1,308",https://github.com/Frederick-S/RSSHub/archive/refs/heads/dependabot/npm_and_yarn/prismjs-1.24.0.zip
gh-pages,master,169346696,7237326,4,https://github.com/Frederick-S/RSSHub/archive/refs/heads/gh-pages.zip
feature/proxy,master,169346696,9cd9383,995,https://github.com/Frederick-S/RSSHub/archive/refs/heads/feature/proxy.zip
renovate/eslint-5.x,master,169346696,e99447b,"1,308",https://github.com/Frederick-S/RSSHub/archive/refs/heads/renovate/eslint-5.x.zip
renovate/lint-staged-8.x,master,169346696,51434e8,"1,308",https://github.com/Frederick-S/RSSHub/archive/refs/heads/renovate/lint-staged-8.x.zip
renovate/prettier-1.x,master,169346696,0af82d3,"1,308",https://github.com/Frederick-S/RSSHub/archive/refs/heads/renovate/prettier-1.x.zip
master,master,252974852,18282cb,35,https://github.com/Frederick-S/jma-web/archive/refs/heads/master.zip
dependabot/npm_and_yarn/path-parse-1.0.7,master,252974852,fab7863,36,https://github.com/Frederick-S/jma-web/archive/refs/heads/dependabot/npm_and_yarn/path-parse-1.0.7.zip
dependabot/npm_and_yarn/core-js-3.16.0,master,252974852,6b54aa2,36,https://github.com/Frederick-S/jma-web/archive/refs/heads/dependabot/npm_and_yarn/core-js-3.16.0.zip
dependabot/npm_and_yarn/url-parse-1.5.3,master,252974852,58aef3a,36,https://github.com/Frederick-S/jma-web/archive/refs/heads/dependabot/npm_and_yarn/url-parse-1.5.3.zip
dependabot/npm_and_yarn/lint-staged-11.1.1,master,252974852,083e91c,36,https://github.com/Frederick-S/jma-web/archive/refs/heads/dependabot/npm_and_yarn/lint-staged-11.1.1.zip
dependabot/npm_and_yarn/color-string-1.6.0,master,252974852,ee3800c,36,https://github.com/Frederick-S/jma-web/archive/refs/heads/dependabot/npm_and_yarn/color-string-1.6.0.zip
dependabot/npm_and_yarn/http-proxy-1.18.1,master,252974852,9d99577,28,https://github.com/Frederick-S/jma-web/archive/refs/heads/dependabot/npm_and_yarn/http-proxy-1.18.1.zip
dependabot/npm_and_yarn/highlight.js-9.18.5,master,252974852,c4dd4c7,34,https://github.com/Frederick-S/jma-web/archive/refs/heads/dependabot/npm_and_yarn/highlight.js-9.18.5.zip
dependabot/npm_and_yarn/ini-1.3.8,master,252974852,da4cb59,34,https://github.com/Frederick-S/jma-web/archive/refs/heads/dependabot/npm_and_yarn/ini-1.3.8.zip
dependabot/npm_and_yarn/axios-0.21.1,master,252974852,342e197,34,https://github.com/Frederick-S/jma-web/archive/refs/heads/dependabot/npm_and_yarn/axios-0.21.1.zip
dependabot/npm_and_yarn/elliptic-6.5.4,master,252974852,5de535c,34,https://github.com/Frederick-S/jma-web/archive/refs/heads/dependabot/npm_and_yarn/elliptic-6.5.4.zip
master,master,249864751,a7f438c,39,https://github.com/Frederick-S/sp-hacker-news/archive/refs/heads/master.zip
dependabot/npm_and_yarn/path-parse-1.0.7,master,249864751,9785f48,40,https://github.com/Frederick-S/sp-hacker-news/archive/refs/heads/dependabot/npm_and_yarn/path-parse-1.0.7.zip
dependabot/npm_and_yarn/types/react-dom-17.0.9,master,249864751,90604d6,40,https://github.com/Frederick-S/sp-hacker-news/archive/refs/heads/dependabot/npm_and_yarn/types/react-dom-17.0.9.zip
dependabot/npm_and_yarn/types/webpack-env-1.16.2,master,249864751,5ba1c60,40,https://github.com/Frederick-S/sp-hacker-news/archive/refs/heads/dependabot/npm_and_yarn/types/webpack-env-1.16.2.zip
dependabot/npm_and_yarn/browserslist-4.16.6,master,249864751,ebaacf7,40,https://github.com/Frederick-S/sp-hacker-news/archive/refs/heads/dependabot/npm_and_yarn/browserslist-4.16.6.zip
dependabot/npm_and_yarn/websocket-extensions-0.1.4,master,249864751,69fe88c,33,https://github.com/Frederick-S/sp-hacker-news/archive/refs/heads/dependabot/npm_and_yarn/websocket-extensions-0.1.4.zip
dependabot/npm_and_yarn/types/mocha-8.2.2,master,249864751,b59c588,36,https://github.com/Frederick-S/sp-hacker-news/archive/refs/heads/dependabot/npm_and_yarn/types/mocha-8.2.2.zip
dependabot/npm_and_yarn/y18n-3.2.2,master,249864751,10d5dff,36,https://github.com/Frederick-S/sp-hacker-news/archive/refs/heads/dependabot/npm_and_yarn/y18n-3.2.2.zip
dependabot/npm_and_yarn/ssri-6.0.2,master,249864751,79cb5df,36,https://github.com/Frederick-S/sp-hacker-news/archive/refs/heads/dependabot/npm_and_yarn/ssri-6.0.2.zip
dependabot/npm_and_yarn/microsoft/rush-stack-compiler-3.3-0.9.44,master,249864751,985ee7c,36,https://github.com/Frederick-S/sp-hacker-news/archive/refs/heads/dependabot/npm_and_yarn/microsoft/rush-stack-compiler-3.3-0.9.44.zip
master,master,246729822,7202498,79,https://github.com/Frederick-S/ebooks-web/archive/refs/heads/master.zip
dependabot/npm_and_yarn/path-parse-1.0.7,master,246729822,34f1c03,80,https://github.com/Frederick-S/ebooks-web/archive/refs/heads/dependabot/npm_and_yarn/path-parse-1.0.7.zip
dependabot/npm_and_yarn/vue/test-utils-1.2.2,master,246729822,68abd7d,79,https://github.com/Frederick-S/ebooks-web/archive/refs/heads/dependabot/npm_and_yarn/vue/test-utils-1.2.2.zip
dependabot/npm_and_yarn/color-string-1.6.0,master,246729822,5a50cce,79,https://github.com/Frederick-S/ebooks-web/archive/refs/heads/dependabot/npm_and_yarn/color-string-1.6.0.zip
